id,Type,EV,DemPct,RepPct,Margin
Alabama,Pres,9,36.5699902121223,62.0316431668648,-25.4616529547425
Alaska,Pres,3,42.7719522710205,52.8331432703808,-10.0611909993603
Arizona,Pres,11,49.2184878500778,48.9106925673488,0.307795282728996
Arkansas,Pres,6,34.775061953015,62.3957298561443,-27.6206679031293
California,Pres,55,63.4453957867152,34.2998821061456,29.1455136805696
Colorado,Pres,9,55.3995419069199,41.8979238435606,13.5016180633593
Connecticut,Pres,7,59.238713355406,39.2094963492446,20.0292170061614
D.C.,Pres,3,92.1496939214069,5.3973213767148,86.7523725446921
Delaware,Pres,3,58.7430057936417,39.7748767711055,18.9681290225362
Florida,Pres,29,47.7565864671768,51.1075971906347,-3.3510107234579
Georgia,Pres,16,49.4952694390798,49.2595817769557,0.2356876621241
Hawaii,Pres,4,63.733639239019,34.2688639421796,29.4647752968394
Idaho,Pres,4,33.0577570052555,63.8208746189134,-30.7631176136579
Illinois,Pres,20,57.4920118590113,40.5184707545283,16.973541104483
Indiana,Pres,11,40.9616770597122,57.0211577657051,-16.0594807059929
Iowa,Pres,6,44.8917155714422,53.0893249692023,-8.1976093977601
Kansas,Pres,6,41.5595535388322,56.2125128342647,-14.6529592954325
Kentucky,Pres,8,36.151514811154,62.0865718692904,-25.9350570581364
Louisiana,Pres,8,39.8514568015262,58.4608824140085,-18.6094256124823
Maine,Pres,2,53.0924595557324,44.0212529943463,9.0712065613861
ME-1,Pres,1,60.11,37.02,23.09
ME-2,Pres,1,44.82,52.26,-7.44
Maryland,Pres,10,65.3606648600771,32.1502915677488,33.2103732923283
Massachusetts,Pres,11,65.6000630059685,32.1419110305056,33.4581519754629
Michigan,Pres,16,50.5500848829099,47.7704467579452,2.7796381249647
Minnesota,Pres,10,52.39509930974,45.2849424091694,7.11015690057059
Mississippi,Pres,6,41.0588222756427,57.6017404463472,-16.5429181707045
Missouri,Pres,10,41.4087817361884,56.7996557788895,-15.3908740427011
Montana,Pres,3,40.5493693616091,56.9184692400203,-16.3690998784112
NE-1,Pres,1,41.09,56.01,-14.92
NE-2,Pres,1,51.95,45.45,6.5
NE-3,Pres,1,22.34,75.36,-53.02
Nebraska,Pres,2,39.166630941788,58.2241633320542,-19.0575323902662
Nevada,Pres,6,50.056781957284,47.6662473245594,2.3905346327246
New Hampshire,Pres,4,52.7078252801477,45.3562595046776,7.3515657754701
New Jersey,Pres,14,57.1474925814203,41.2617194278273,15.885773153593
New Mexico,Pres,5,54.2892858495722,43.4966692461295,10.7926166034427
New York,Pres,29,60.8967352370682,37.7579227271556,23.1388125099126
North Carolina,Pres,15,48.5862117773632,49.9343324882955,-1.34812071093231
North Dakota,Pres,3,31.7567623590801,65.1140487370757,-33.3572863779956
Ohio,Pres,18,45.1615855847838,53.1797428291224,-8.0181572443386
Oklahoma,Pres,7,32.2861743359866,65.373271848063,-33.0870975120764
Oregon,Pres,7,56.4533186540489,40.3672460463434,16.0860726077055
Pennsylvania,Pres,20,49.8840580002574,48.6999924910458,1.1840655092116
Rhode Island,Pres,4,59.3880913246948,38.6130945598032,20.7749967648916
South Carolina,Pres,9,43.4300881420618,55.1102939567402,-11.6802058146784
South Dakota,Pres,3,35.6052521361353,61.7693896722502,-26.1641375361149
Tennessee,Pres,11,37.4514342710237,60.6602941662838,-23.2088598952601
Texas,Pres,38,46.4790099138705,52.0576036035526,-5.5785936896821
Utah,Pres,6,37.2075695232125,57.452776811163,-20.2452072879505
Vermont,Pres,3,66.086416930664,30.6737646559326,35.4126522747314
Virginia,Pres,13,54.1095171778024,43.9955036672821,10.1140135105203
Washington,Pres,12,57.9703011353031,38.7669777433433,19.2033233919598
West Virginia,Pres,5,29.6965212445196,68.6315519246161,-38.9350306800965
Wisconsin,Pres,10,49.4495368614277,48.8224373196088,0.6270995418189
Wyoming,Pres,3,26.5535743320145,69.9362274854118,-43.3826531533973
AK-AL,House,1,43.0065246148296,53.1228937631618,-10.1163691483322
AL-01,House,1,24.2887186650906,74.6843099028292,-50.3955912377386
AL-02,House,1,55.7453759308191,43.3447033389383,12.4006725918808
AL-03,House,1,28.9900661737535,69.980840353879,-40.9907741801255
AL-04,House,1,18.4582746159963,80.584133884739,-62.1258592687427
AL-05,House,1,35.6274611008334,62.7542291788695,-27.1267680780361
AL-06,House,1,30.39341179669,68.4146286206232,-38.0212168239332
AL-07,House,1,64.0351484329156,35.1318818555243,28.9032665773913
AR-01,House,1,28.074702223214,68.9810036542163,-40.9063014310023
